ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"50,46","0,00","47,28","85,58",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,18","0,00","96,36","18,65",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
2,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,81","0,00","94,24","18,23",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
3,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,68","0,00","94,23","18,22",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
4,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,38","0,00","47,64","81,88",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
5,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,98","0,00","96,27","19,15",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
6,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,38","0,00","94,15","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
7,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,19","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
8,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,92","0,00","47,51","81,43",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
9,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,73","0,00","96,32","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
10,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,28","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
11,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,10","0,00","94,02","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
12,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,24","81,76",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
13,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,46","0,00","96,39","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
14,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","93,87","18,66",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
15,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","93,90","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
16,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,95","0,00","46,95","81,62",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
17,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,14","0,00","96,34","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
18,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,64","0,00","93,97","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
19,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,51","0,00","94,19","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
20,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,60","0,00","47,68","81,90",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
21,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,89","0,00","96,46","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
22,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,87","0,00","94,14","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
23,0.00,encode_blocks_kernel,encode_blocks_kernel..,144,"0,00","94,13","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
24,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,82","0,00","47,37","81,43",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
25,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,50","0,00","96,34","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
26,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","94,14","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
27,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,71","0,00","94,15","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
28,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,89","0,00","47,30","81,45",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
29,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,18","0,00","96,46","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
30,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,14","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
31,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,07","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
32,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,34","0,00","47,18","82,31",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
33,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,47","0,00","96,49","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
34,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,16","0,00","93,99","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
35,0.00,encode_blocks_kernel,encode_blocks_kernel..,144,"0,00","94,26","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
36,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,44","0,00","47,01","82,17",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
37,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,21","0,00","96,38","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
38,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,42","0,00","93,92","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
39,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,12","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
40,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"50,05","0,00","47,42","81,99",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
41,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,40","0,00","96,44","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
42,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,06","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
43,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","93,99","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
44,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,54","0,00","47,86","81,63",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
45,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,73","0,00","96,34","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
46,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,35","0,00","93,95","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
47,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,36","18,76",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
48,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,31","0,00","47,43","82,45",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
49,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,60","0,00","96,57","19,21",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
50,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,38","0,00","93,84","18,65",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
51,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,54","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
52,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,95","0,00","47,04","81,68",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
53,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,76","0,00","96,47","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
54,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,94","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
55,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,16","0,00","93,89","18,66",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
56,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,98","0,00","47,02","81,23",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
57,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,43","0,00","96,46","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
58,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,11","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
59,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","94,09","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
60,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,57","0,00","47,55","81,77",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
61,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,79","0,00","96,37","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
62,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,11","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
63,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","93,82","18,65",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
64,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,63","0,00","47,25","81,78",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
65,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,15","0,00","96,35","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
66,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,02","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
67,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,35","0,00","94,04","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
68,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,60","0,00","46,94","81,96",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
69,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,24","0,00","96,43","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
70,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,58","0,00","94,00","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
71,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,13","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
72,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,79","0,00","46,91","81,46",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
73,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,63","0,00","96,34","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
74,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","94,09","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
75,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,16","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
76,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,63","0,00","47,48","81,86",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
77,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,14","0,00","96,43","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
78,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,26","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
79,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,38","0,00","94,24","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
80,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,70","0,00","47,01","81,77",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
81,0.00,encode_blocks_kernel,encode_blocks_kernel..,"560,51","0,00","96,36","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
82,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,23","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
83,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,06","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
84,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,32","81,66",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
85,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,11","0,00","96,38","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
86,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,45","0,00","93,87","18,66",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
87,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","94,19","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
88,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,73","0,00","47,38","81,70",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
89,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,82","0,00","96,34","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
90,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,94","0,00","94,08","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
91,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,42","0,00","94,04","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
92,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,41","0,00","47,35","82,18",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
93,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,09","0,00","96,35","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
94,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,06","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
95,0.00,encode_blocks_kernel,encode_blocks_kernel..,144,"0,00","94,21","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
96,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,89","0,00","47,06","81,67",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
97,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,11","0,00","96,40","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
98,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,32","0,00","94,00","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
99,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,29","0,00","94,18","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
100,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,86","0,00","47,27","81,49",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
101,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,31","0,00","96,44","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
102,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,74","0,00","94,22","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
103,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,27","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
104,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,70","0,00","47,78","82,07",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
105,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,70","0,00","96,45","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
106,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,64","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
107,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,10","0,00","93,93","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
108,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,44","0,00","47,40","81,59",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
109,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,54","0,00","96,32","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
110,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,16","0,00","94,07","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
111,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,19","0,00","94,21","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
112,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,70","0,00","47,16","81,54",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
113,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,82","0,00","96,38","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
114,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,94","0,00","94,14","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
115,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,32","0,00","94,25","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
116,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,60","0,00","47,63","82,02",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
117,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,02","0,00","96,43","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
118,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
119,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,01","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
120,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,86","0,00","47,30","81,22",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
121,0.00,encode_blocks_kernel,encode_blocks_kernel..,"560,58","0,00","96,31","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
122,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,19","0,00","94,04","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
123,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,21","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
124,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,47","0,00","47,22","81,97",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
125,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,95","0,00","96,31","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
126,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,96","0,00","93,98","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
127,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,29","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
128,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,13","81,78",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
129,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,12","0,00","96,27","19,15",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
130,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,10","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
131,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,35","0,00","93,97","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
132,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,44","0,00","47,54","81,99",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
133,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,47","0,00","96,38","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
134,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","94,19","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
135,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,10","0,00","94,15","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
136,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,93","82,19",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
137,0.00,encode_blocks_kernel,encode_blocks_kernel..,"560,61","0,00","96,41","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
138,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","94,00","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
139,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,74","0,00","94,17","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
140,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,79","0,00","47,39","81,76",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
141,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,27","0,00","96,30","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
142,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,16","0,00","94,07","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
143,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,26","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
144,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,73","0,00","47,69","81,98",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
145,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,82","0,00","96,41","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
146,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,19","0,00","94,18","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
147,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,87","0,00","93,97","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
148,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,32","82,65",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
149,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,25","0,00","96,24","19,15",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
150,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,16","0,00","94,13","18,71",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
151,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,48","0,00","93,90","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
152,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,98","0,00","47,22","81,18",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
153,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,50","0,00","96,41","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
154,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,19","0,00","94,00","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
155,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,03","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
156,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,50","0,00","47,34","82,06",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
157,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,92","0,00","96,40","19,18",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
158,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,03","0,00","94,07","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
159,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","94,23","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
160,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,35","81,72",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
161,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,89","0,00","96,36","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
162,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,29","0,00","94,05","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
163,5.26,encode_blocks_kernel,encode_blocks_kernel..,"143,84","7,57","94,23","18,73",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
164,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,50","0,00","47,65","81,80",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
165,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,92","0,00","96,54","19,20",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
166,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,32","0,00","93,97","18,68",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
167,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,09","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
168,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,95","0,00","47,61","82,12",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
169,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,63","0,00","96,45","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
170,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,94","0,00","94,16","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
171,0.00,encode_blocks_kernel,encode_blocks_kernel..,144,"0,00","94,08","18,70",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
172,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,57","0,00","47,71","82,63",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
173,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,82","0,00","96,49","19,19",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
174,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","94,26","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
