ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1111,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,73","0,00","95,13","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1112,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,73","0,00","47,09","81,49",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1113,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,14","0,00","97,87","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1114,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,82","0,00","95,02","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1115,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,99","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1116,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,73","0,00","47,60","81,49",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1117,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,30","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1118,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","94,88","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1119,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1120,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"50,02","0,00","47,34","81,75",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1121,0.00,encode_blocks_kernel,encode_blocks_kernel..,"552,42","0,00","97,67","19,53",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1122,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1123,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,14","0,00","95,03","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1124,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,86","0,00","47,56","81,06",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1125,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,18","0,00","97,83","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1126,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","95,00","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1127,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,86","0,00","94,94","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
